Debugging Face 2 Center (W=1024)...
row   | col   | u          | v          | x          | y          | z          | lat        | lon       
510   | 510   | 0.498535   | 0.501465   | 0.001956   | -0.001956  | 0.999996   | 89.8415    | -45.0000  
510   | 511   | 0.499512   | 0.501465   | 0.000651   | -0.001956  | 0.999998   | 89.8819    | -71.5818  
510   | 512   | 0.500488   | 0.501465   | -0.000651  | -0.001956  | 0.999998   | 89.8819    | -108.4182 
510   | 513   | 0.501465   | 0.501465   | -0.001956  | -0.001956  | 0.999996   | 89.8415    | -135.0000 
510   | 514   | 0.502441   | 0.501465   | -0.003263  | -0.001956  | 0.999993   | 89.7820    | -149.0609 
511   | 510   | 0.498535   | 0.500488   | 0.001956   | -0.000651  | 0.999998   | 89.8819    | -18.4182  
511   | 511   | 0.499512   | 0.500488   | 0.000651   | -0.000651  | 1.000000   | 89.9472    | -45.0000  
511   | 512   | 0.500488   | 0.500488   | -0.000651  | -0.000651  | 1.000000   | 89.9472    | -135.0000 
511   | 513   | 0.501465   | 0.500488   | -0.001956  | -0.000651  | 0.999998   | 89.8819    | -161.5818 
511   | 514   | 0.502441   | 0.500488   | -0.003263  | -0.000651  | 0.999994   | 89.8093    | -168.7115 
512   | 510   | 0.498535   | 0.499512   | 0.001956   | 0.000651   | 0.999998   | 89.8819    | 18.4182   
512   | 511   | 0.499512   | 0.499512   | 0.000651   | 0.000651   | 1.000000   | 89.9472    | 45.0000   
512   | 512   | 0.500488   | 0.499512   | -0.000651  | 0.000651   | 1.000000   | 89.9472    | 135.0000  
512   | 513   | 0.501465   | 0.499512   | -0.001956  | 0.000651   | 0.999998   | 89.8819    | 161.5818  
512   | 514   | 0.502441   | 0.499512   | -0.003263  | 0.000651   | 0.999994   | 89.8093    | 168.7115  
513   | 510   | 0.498535   | 0.498535   | 0.001956   | 0.001956   | 0.999996   | 89.8415    | 45.0000   
513   | 511   | 0.499512   | 0.498535   | 0.000651   | 0.001956   | 0.999998   | 89.8819    | 71.5818   
513   | 512   | 0.500488   | 0.498535   | -0.000651  | 0.001956   | 0.999998   | 89.8819    | 108.4182  
513   | 513   | 0.501465   | 0.498535   | -0.001956  | 0.001956   | 0.999996   | 89.8415    | 135.0000  
513   | 514   | 0.502441   | 0.498535   | -0.003263  | 0.001956   | 0.999993   | 89.7820    | 149.0609  
514   | 510   | 0.498535   | 0.497559   | 0.001956   | 0.003263   | 0.999993   | 89.7820    | 59.0609   
514   | 511   | 0.499512   | 0.497559   | 0.000651   | 0.003263   | 0.999994   | 89.8093    | 78.7115   
514   | 512   | 0.500488   | 0.497559   | -0.000651  | 0.003263   | 0.999994   | 89.8093    | 101.2885  
514   | 513   | 0.501465   | 0.497559   | -0.001956  | 0.003263   | 0.999993   | 89.7820    | 120.9391  
514   | 514   | 0.502441   | 0.497559   | -0.003263  | 0.003263   | 0.999989   | 89.7356    | 135.0000  
